X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR
-2413.40656039817,6718234.26255547,"4941",2/6/2018,15:35:40,51.5448,-0.02168,5.02,7.8,"329"
-2411.51412905469,6718235.51554363,"4942",2/6/2018,15:35:41,51.544807,-0.021663,4.02,7.8,"326"
-2411.51412905469,6718235.51554363,"4943",2/6/2018,15:35:41,51.544807,-0.021663,4.02,7.7,"332"
-2409.73301720199,6718236.23153696,"4944",2/6/2018,15:35:42,51.544811,-0.021647,4.98,7.7,"325"
-2409.73301720199,6718236.23153696,"4945",2/6/2018,15:35:42,51.544811,-0.021647,4.98,7.3,"332"
-2408.28586382168,6718237.66352379,"4946",2/6/2018,15:35:43,51.544819,-0.021634,4.52,7.3,"324"
-2408.28586382168,6718237.66352379,"4947",2/6/2018,15:35:43,51.544819,-0.021634,4.52,7,"333"
-2406.83871044137,6718239.09551088,"4948",2/6/2018,15:35:44,51.544827,-0.021621,4.28,7,"323"
-2406.83871044137,6718239.09551088,"4949",2/6/2018,15:35:44,51.544827,-0.021621,4.28,6.9,"331"
-2405.72551553344,6718240.34849978,"4950",2/6/2018,15:35:45,51.544834,-0.021611,4.09,6.9,"325"
-2405.72551553344,6718240.34849978,"4951",2/6/2018,15:35:45,51.544834,-0.021611,4.09,6.7,"330"
-2404.94627909788,6718241.78048734,"4952",2/6/2018,15:35:46,51.544842,-0.021604,4.5,6.7,"324"
-2404.94627909788,6718241.78048734,"4953",2/6/2018,15:35:46,51.544842,-0.021604,4.5,6.6,"331"
-2403.61044520836,6718243.74947065,"4954",2/6/2018,15:35:47,51.544853,-0.021592,4.7,6.6,"324"
-2403.61044520836,6718243.74947065,"4955",2/6/2018,15:35:47,51.544853,-0.021592,4.7,6.7,"330"
-2402.60856979122,6718246.43444865,"4956",2/6/2018,15:35:48,51.544868,-0.021583,4.89,6.7,"326"
-2402.60856979122,6718246.43444865,"4957",2/6/2018,15:35:48,51.544868,-0.021583,4.89,6.8,"332"
-2401.60669437408,6718248.58243168,"4958",2/6/2018,15:35:49,51.54488,-0.021574,4.69,6.8,"325"
-2401.60669437408,6718248.58243168,"4959",2/6/2018,15:35:49,51.54488,-0.021574,4.69,6.7,"330"
-2400.71613844774,6718250.01442069,"4960",2/6/2018,15:35:50,51.544888,-0.021566,4.43,6.7,"326"
-2400.71613844774,6718250.01442069,"4961",2/6/2018,15:35:50,51.544888,-0.021566,4.43,6.7,"330"
-2399.6029435398,6718251.98340598,"4962",2/6/2018,15:35:51,51.544899,-0.021556,4.69,6.7,"324"
-2399.6029435398,6718251.98340598,"4963",2/6/2018,15:35:51,51.544899,-0.021556,4.69,6.7,"331"
-2398.60106812267,6718253.95239175,"4964",2/6/2018,15:35:52,51.54491,-0.021547,4.54,6.7,"324"
-2398.60106812267,6718253.95239175,"4965",2/6/2018,15:35:52,51.54491,-0.021547,4.54,6.6,"328"
-2397.59919270553,6718256.10037677,"4966",2/6/2018,15:35:53,51.544922,-0.021538,4.44,6.6,"322"
-2397.59919270553,6718256.10037677,"4967",2/6/2018,15:35:53,51.544922,-0.021538,4.44,6.5,"330"
-2397.15391474235,6718257.5323671,"4968",2/6/2018,15:35:54,51.54493,-0.021534,4.37,6.5,"327"
